Date; Time (EST)Temp.; Windchill; Dew Point; Humidity; Pressure; Visibility; Wind Dir; Wind Speed; Gust Speed; Precip; Events; Conditions
2018/01/05; 7:54 AM-15.0 °F; -27.4 °F; -18.0 °F; 86%; 30.42 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 8:54 AM-11.9 °F; -21.5 °F; -14.1 °F; 90%; 30.44 in; 10.0 mi; NW; 3.5 mph; -; N/A;  ; Clear
2018/01/05; 9:54 AM-6.0 °F; -18.6 °F; -9.0 °F; 87%; 30.44 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/05; 10:54 AM-0.0 °F; -13.0 °F; -4.0 °F; 83%; 30.46 in; 10.0 mi; West; 6.9 mph; -; N/A;  ; Clear
2018/01/05; 11:54 AM3.0 °F; -10.5 °F; -5.1 °F; 69%; 30.46 in; 10.0 mi; WNW; 8.1 mph; -; N/A;  ; Clear
2018/01/05; 12:54 PM5.0 °F; -12.3 °F; -5.1 °F; 63%; 30.44 in; 10.0 mi; WNW; 13.8 mph; -; N/A;  ; Clear
2018/01/05; 1:54 PM5.0 °F; -10.8 °F; -5.1 °F; 63%; 30.45 in; 10.0 mi; West; 11.5 mph; -; N/A;  ; Clear
2018/01/05; 2:54 PM6.1 °F; -7.8 °F; -4.0 °F; 63%; 30.46 in; 10.0 mi; WNW; 9.2 mph; -; N/A;  ; Clear
2018/01/05; 3:54 PM6.1 °F; -5.6 °F; -4.0 °F; 63%; 30.48 in; 10.0 mi; WNW; 6.9 mph; -; N/A;  ; Clear
2018/01/05; 4:54 PM3.9 °F; -11.3 °F; -4.0 °F; 70%; 30.48 in; 10.0 mi; West; 10.4 mph; -; N/A;  ; Clear
2018/01/05; 5:54 PM1.0 °F; -8.7 °F; -6.0 °F; 72%; 30.51 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 6:54 PM-0.0 °F; -9.9 °F; -6.0 °F; 76%; 30.51 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 7:54 PM-2.0 °F; -12.2 °F; -7.1 °F; 79%; 30.53 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 8:54 PM-5.1 °F; -13.6 °F; -7.1 °F; 91%; 30.54 in; 10.0 mi; West; 3.5 mph; -; N/A;  ; Clear
2018/01/05; 9:54 PM-6.0 °F; -16.9 °F; -9.0 °F; 87%; 30.55 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 10:54 PM-9.0 °F; -; -11.0 °F; 91%; 30.56 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 11:54 PM-9.9 °F; -19.2 °F; -13.0 °F; 86%; 30.56 in; 10.0 mi; West; 3.5 mph; -; N/A;  ; Clear
